id_documento;equipo_categoria;fabricante;modelo;variante_version;archivo;ruta;tamano_bytes;fecha_modificacion;tipo_documento;idioma;perfil_destino;estado_curaduria;decision;motivo_decision;requiere_ocr;duplicado;documento_equivalente;responsable;observaciones
DOC-0001;;;;;agitador_presvac_ae500_manual_tecnico_y_de_mantenimiento_agitador_presvac_ae_500_a.md;data/processed/agitador_presvac_ae500_manual_tecnico_y_de_mantenimiento_agitador_presvac_ae_500_a.md;49134;25/5/2026 16:39;;;;;;;;;;;
DOC-0002;;;;;bilirrubinometro_drager_jm105_checklist_bilirrubinometro_drager_jm_105.md;data/processed/bilirrubinometro_drager_jm105_checklist_bilirrubinometro_drager_jm_105.md;2014;25/5/2026 16:39;;;;;;;;;;;
DOC-0003;;;;;bilirrubinometro_drager_jm105_manual_de_usuario_bilirrubinometro_drager_jm_105.md;data/processed/bilirrubinometro_drager_jm105_manual_de_usuario_bilirrubinometro_drager_jm_105.md;158572;25/5/2026 16:39;;;;;;;;;;;
DOC-0004;;;;;bilirrubinometro_drager_jm105_manual_tecnico_bilirrubinometro_drager_jm_105_espanol.md;data/processed/bilirrubinometro_drager_jm105_manual_tecnico_bilirrubinometro_drager_jm_105_espanol.md;6214;25/5/2026 16:39;;;;;;;;;;;
DOC-0005;;;;;bilirrubinometro_drager_jm105_material_educativo_bilirrubinometro_drager_jm_105_ingles.md;data/processed/bilirrubinometro_drager_jm105_material_educativo_bilirrubinometro_drager_jm_105_ingles.md;5111;25/5/2026 16:39;;;;;;;;;;;
DOC-0006;;;;;cabina_bioseguridad_manual_de_servicio_cabina_microbiologica_euroclone_safemate_ez_ing.md;data/processed/cabina_bioseguridad_manual_de_servicio_cabina_microbiologica_euroclone_safemate_ez_ing.md;6270;25/5/2026 16:39;;;;;;;;;;;
DOC-0007;;;;;cama_electronica_manual_de_usuario_y_tecnico_cama_linet_eleganza_1.md;data/processed/cama_electronica_manual_de_usuario_y_tecnico_cama_linet_eleganza_1.md;110632;25/5/2026 16:39;;;;;;;;;;;
DOC-0008;;;;;cama_electronica_manual_tecnico_cama_pardo_hitech_act.md;data/processed/cama_electronica_manual_tecnico_cama_pardo_hitech_act.md;9602;25/5/2026 16:39;;;;;;;;;;;
DOC-0009;;;;;cama_electronica_manual_tecnico_cama_pardo_komplet.md;data/processed/cama_electronica_manual_tecnico_cama_pardo_komplet.md;5532;25/5/2026 16:39;;;;;;;;;;;
DOC-0010;;;;;camilla_de_hemodinamia_stille_q2_manual_tecnico_incubadora_medix_tr306.md;data/processed/camilla_de_hemodinamia_stille_q2_manual_tecnico_incubadora_medix_tr306.md;124631;25/5/2026 01:12;;;;;;;;;;;
DOC-0011;;;;;desfibrilador_mindray_beneheart_manual_de_servicio_desfibrilador_monitor_beneheart_d3_d2_ingles.md;data/processed/desfibrilador_mindray_beneheart_manual_de_servicio_desfibrilador_monitor_beneheart_d3_d2_ingles.md;169661;25/5/2026 16:39;;;;;;;;;;;
DOC-0012;;;;;dinan_af500_mtm_af_500_manual_tecnico_y_mantenimiento_v5_0_2020_02_27.md;data/processed/dinan_af500_mtm_af_500_manual_tecnico_y_mantenimiento_v5_0_2020_02_27.md;75770;25/5/2026 16:39;;;;;;;;;;;
DOC-0013;;;;;dinan_af500_mu_af_500_dr_version_v05_manual_de_usuario_v1_0_2024_09_09.md;data/processed/dinan_af500_mu_af_500_dr_version_v05_manual_de_usuario_v1_0_2024_09_09.md;2197;25/5/2026 16:39;;;;;;;;;;;
DOC-0014;;;;;dinan_af500_mu_dr_console_af_500_manual_de_usuario_v1_0_2024_09_09.md;data/processed/dinan_af500_mu_dr_console_af_500_manual_de_usuario_v1_0_2024_09_09.md;30785;25/5/2026 16:39;;;;;;;;;;;
DOC-0015;;;;;dinan_af500_mu_sm500_manual_de_usuario_v1_0_2024_09_09.md;data/processed/dinan_af500_mu_sm500_manual_de_usuario_v1_0_2024_09_09.md;7905;25/5/2026 16:39;;;;;;;;;;;
DOC-0016;;;;;drager_vn500_9066667_babyflow_es_finit.md;data/processed/drager_vn500_9066667_babyflow_es_finit.md;8444;24/5/2026 00:09;;;;;;;;;;;
DOC-0017;;;;;drager_vn500_manual_usuario_vn500_es.md;data/processed/drager_vn500_manual_usuario_vn500_es.md;26765;25/5/2026 16:39;;;;;;;;;;;
