original_name,normalized_name,equipment_prefix,source_path,destination_path
1_3_Training_GS500_EN_01_2017.pdf,drager_vn500_1_3_training_gs500_en_01_2017.pdf,drager_vn500,data\raw_original_unicos\1_3_Training_GS500_EN_01_2017.pdf,data\raw_normalized\drager_vn500_1_3_training_gs500_en_01_2017.pdf
2_1_Training_PS500_withM7_3plus_EN_06_2017.pdf,drager_vn500_2_1_training_ps500_withm7_3plus_en_06_2017.pdf,drager_vn500,data\raw_original_unicos\2_1_Training_PS500_withM7_3plus_EN_06_2017.pdf,data\raw_normalized\drager_vn500_2_1_training_ps500_withm7_3plus_en_06_2017.pdf
3_9054521_01_Erg__GA_V-VN_PS500-Batt__en.pdf,drager_vn500_3_9054521_01_erg_ga_v_vn_ps500_batt_en.pdf,drager_vn500,data\raw_original_unicos\3_9054521_01_Erg__GA_V-VN_PS500-Batt__en.pdf,data\raw_normalized\drager_vn500_3_9054521_01_erg_ga_v_vn_ps500_batt_en.pdf
5. Nivel 3 Terapia fallas frecuentes - fuga (1).pdf,ventilador_leistung_luft3_5_nivel_3_terapia_fallas_frecuentes_fuga_1.pdf,ventilador_leistung_luft3,data\raw_original_unicos\5. Nivel 3 Terapia fallas frecuentes - fuga (1).pdf,data\raw_normalized\ventilador_leistung_luft3_5_nivel_3_terapia_fallas_frecuentes_fuga_1.pdf
6. Nivel 3 Terapia fallas frecuentes - presion (1).pdf,ventilador_leistung_luft3_6_nivel_3_terapia_fallas_frecuentes_presion_1.pdf,ventilador_leistung_luft3,data\raw_original_unicos\6. Nivel 3 Terapia fallas frecuentes - presion (1).pdf,data\raw_normalized\ventilador_leistung_luft3_6_nivel_3_terapia_fallas_frecuentes_presion_1.pdf
7. Nivel 3 Terapia fallas frecuentes - flujo (2).pdf,ventilador_leistung_luft3_7_nivel_3_terapia_fallas_frecuentes_flujo_2.pdf,ventilador_leistung_luft3,data\raw_original_unicos\7. Nivel 3 Terapia fallas frecuentes - flujo (2).pdf,data\raw_normalized\ventilador_leistung_luft3_7_nivel_3_terapia_fallas_frecuentes_flujo_2.pdf
9066667_BabyFlow_ES_finit.pdf,drager_vn500_9066667_babyflow_es_finit.pdf,drager_vn500,data\raw_original_unicos\9066667_BabyFlow_ES_finit.pdf,data\raw_normalized\drager_vn500_9066667_babyflow_es_finit.pdf
abreviaturas y simbolos Evita V300 - VN500.pdf,drager_vn500_abreviaturas_y_simbolos_evita_v300_vn500.pdf,drager_vn500,data\raw_original_unicos\abreviaturas y simbolos Evita V300 - VN500.pdf,data\raw_normalized\drager_vn500_abreviaturas_y_simbolos_evita_v300_vn500.pdf
cc_other_br_9066227_es.pdf,drager_vn500_cc_other_br_9066227_es.pdf,drager_vn500,data\raw_original_unicos\cc_other_br_9066227_es.pdf,data\raw_normalized\drager_vn500_cc_other_br_9066227_es.pdf
cc_other_br_9066343_es.pdf,drager_vn500_cc_other_br_9066343_es.pdf,drager_vn500,data\raw_original_unicos\cc_other_br_9066343_es.pdf,data\raw_normalized\drager_vn500_cc_other_br_9066343_es.pdf
